datetime,location,cuisine_type,hour,day_of_week,temperature,precipitation,is_holiday,orders
2022-01-01 00:00:00,D,Mexican,0,5,30.341906506994338,0.0,0,60
2022-01-01 01:00:00,E,Chinese,1,5,15.429924601217387,0.3818358950239534,0,36
2022-01-01 02:00:00,C,Indian,2,5,19.68035706196472,0.8801526314535772,0,39
2022-01-01 03:00:00,E,Italian,3,5,16.35343173881476,4.182854714008283,0,43
2022-01-01 04:00:00,E,Italian,4,5,19.343918606745433,1.152394783554566,0,51
2022-01-01 05:00:00,B,Italian,5,5,27.517801195749428,1.675316673669143,0,69
2022-01-01 06:00:00,C,Chinese,6,5,17.626935985150627,0.39487089642930406,0,42
2022-01-01 07:00:00,C,Italian,7,5,20.02021593737939,1.3578901432107697,0,44
2022-01-01 08:00:00,C,American,8,5,18.343485978705793,0.0,0,43
2022-01-01 09:00:00,E,American,9,5,17.076182704202072,0.0,0,40
2022-01-01 10:00:00,D,Italian,10,5,25.464439975916648,0.0,0,63
2022-01-01 11:00:00,C,American,11,5,15.468297853449867,3.9620508351833728,0,35
2022-01-01 12:00:00,E,Indian,12,5,19.838528753924813,0.0,0,33
2022-01-01 13:00:00,B,American,13,5,20.34995959145638,0.0,0,32
2022-01-01 14:00:00,D,Italian,14,5,19.986920302695072,0.0,0,29
2022-01-01 15:00:00,B,Mexican,15,5,19.138943443694064,2.2456728980264224,0,31
2022-01-01 16:00:00,D,Indian,16,5,24.929098719639992,0.07270862244548636,0,20
2022-01-01 17:00:00,E,Chinese,17,5,13.750426424045944,0.0,0,24
2022-01-01 18:00:00,A,Italian,18,5,21.39542520034586,2.0765787419601094,0,23
2022-01-01 19:00:00,D,Chinese,19,5,21.529067966355758,0.0,0,21
2022-01-01 20:00:00,B,Mexican,20,5,20.94703925609139,0.0,0,23
2022-01-01 21:00:00,E,Chinese,21,5,17.593538398814506,0.09412532743685709,0,22
2022-01-01 22:00:00,D,Italian,22,5,23.701163195839616,4.445872497163179,0,29
2022-01-01 23:00:00,A,Italian,23,5,23.55101065648056,0.0,0,32
2022-01-02 00:00:00,A,Mexican,0,6,17.57386728994075,2.5029308133034722,0,30
2022-01-02 01:00:00,C,Italian,1,6,16.578484885824878,0.0,0,37
